[2025-05-12 17:17:44,487: INFO: main: welcome to our custom log]
[2025-05-15 01:47:58,541: INFO: main: welcome to our custom log]
[2025-05-20 04:19:18,786: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-20 04:19:18,811: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 04:19:18,814: INFO: common: created directory at: artifacts]
[2025-05-20 04:19:18,816: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-20 04:19:18,821: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1rd7c5ILxOaDPwZKp5UYb879RPiaBUYvj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-20 04:19:53,740: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1rd7c5ILxOaDPwZKp5UYb879RPiaBUYvj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-21 04:08:11,009: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-21 04:08:11,012: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-21 04:08:11,015: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-21 04:08:11,015: INFO: common: created directory at: artifacts]
[2025-05-21 04:08:11,017: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-21 04:08:11,017: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1rd7c5ILxOaDPwZKp5UYb879RPiaBUYvj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-21 04:09:27,972: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1rd7c5ILxOaDPwZKp5UYb879RPiaBUYvj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-21 04:09:29,787: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
